hour,source_zone,destination_zone,drivers_moved
0,Airport,South,10
1,Central,Airport,24
1,Central,East,51
2,East,Airport,5
3,Airport,East,14
3,Central,East,14
4,Airport,West,34
5,Central,Airport,82
5,Central,East,35
5,Central,South,1
6,Airport,Central,55
6,Airport,North,54
6,East,North,26
6,East,South,18
6,West,South,9
7,Central,Airport,92
7,North,Airport,39
7,North,East,0
7,South,East,7
8,Airport,South,78
8,Airport,West,85
8,Central,West,44
9,Central,Airport,0
10,Airport,Central,116
10,East,Central,34
10,North,Central,78
11,North,Airport,32
12,Central,Airport,87
12,North,Airport,5
12,West,Airport,12
12,West,East,29
12,West,South,16
13,Airport,Central,84
13,East,Central,13
13,East,West,6
14,Airport,North,4
14,Central,North,89
14,Central,South,6
14,East,South,23
15,Airport,Central,106
15,West,Central,2
16,Central,Airport,7
16,East,Airport,6
17,Central,Airport,12
17,South,Airport,74
17,South,East,6
17,West,East,38
18,Airport,North,63
18,Central,North,1
18,East,North,34
19,Central,Airport,124
20,Airport,South,39
20,Central,South,99
21,East,Airport,32
22,North,Airport,62
23,Airport,North,4
23,Central,North,30
23,Central,South,36
